"No","スキル名","タスクの分類","重要度（pj-generalでの推定）","タスク難易度（pj-generalでの推定）","使用頻度（pj-generalでの推定）","行数","改善優先度","高品質化状態","高品質化コメント"
"1","agent-eval","エージェント運用・評価","中","高","中","143","C","未着手",""
"2","agent-harness-construction","エージェント運用・評価","中","高","中","72","C","未着手",""
"3","agentic-engineering","エージェント運用・評価","高","高","中","62","B","未着手",""
"4","agent-introspection-debugging","エージェント運用・評価","中","高","中","152","C","未着手",""
"5","agent-payment-x402","API・バックエンド実装","低","高","低","177","C","未着手",""
"6","agent-sort","エージェント運用・評価","中","高","中","214","C","未着手",""
"7","ai-first-engineering","エージェント運用・評価","高","高","中","50","B","未着手",""
"8","ai-regression-testing","テスト・検証","高","中","中","384","C","未着手",""
"9","android-clean-architecture","言語・フレームワーク別実装","低","高","低","338","D","未着手",""
"10","api-connector-builder","API・バックエンド実装","高","高","中","118","B","未着手",""
"11","api-design","API・バックエンド実装","高","高","高","127","A","完了","REST契約、error、pagination、authz、idempotency、互換性、observabilityをactive本文へ集約し、backend責務とのhandoffを明確化。"
"12","architecture-decision-records","リポジトリ調査・ファイル操作","高","中","中","178","C","未着手",""
"13","article-writing","コンテンツ・発信","低","低","低","78","C","未着手",""
"14","automation-audit-ops","運用・外部連携","中","中","中","141","C","未着手",""
"15","autonomous-agent-harness","エージェント運用・評価","低","高","低","266","C","未着手",""
"16","autonomous-loops","エージェント運用・評価","中","高","中","609","C","未着手",""
"17","backend-patterns","API・バックエンド実装","高","高","高","72","A","完了","言語固定例を分離し、data ownership・transaction・idempotency・queue/cache・failure/recovery・observability中心へ再設計。"
"18","benchmark","テスト・検証","中","中","中","92","C","未着手",""
"19","blueprint","作業チャンク化・計画","高","中","中","104","C","未着手",""
"20","brand-voice","コンテンツ・発信","低","低","低","96","C","未着手",""
"21","browser-qa","フロントエンド・UI検証","高","中","高","86","B","未着手",""
"22","bun-runtime","運用・外部連携","高","中","高","83","D","未着手",""
"23","canary-watch","テスト・検証","中","中","中","98","C","未着手",""
"24","carrier-relationship-management","業務ドメイン知識","低","中","低","204","C","未着手",""
"25","ck","運用・外部連携","低","中","低","143","C","未着手",""
"26","claude-api","言語・フレームワーク別実装","低","高","低","336","C","未着手",""
"27","claude-devfleet","エージェント運用・評価","低","高","低","102","C","未着手",""
"28","clickhouse-io","データ・DB・AI基盤","中","高","中","438","C","未着手",""
"29","click-path-audit","フロントエンド・UI検証","中","中","中","243","C","未着手",""
"30","codebase-onboarding","リポジトリ調査・ファイル操作","高","中","高","66","B","完了","AGENTS/PROJECT等のauthorityを先に読み、代表flow・ownership・検証commandを根拠付きで把握する手順へ変更。"
"31","code-tour","リポジトリ調査・ファイル操作","中","中","中","235","C","未着手",""
"32","coding-standards","リポジトリ調査・ファイル操作","高","中","高","112","B","完了","framework固有例をreferencesへ分離し、PJ規約優先・最小変更・risk-based review/verificationの横断floorへ縮小。"
"33","compose-multiplatform-patterns","フロントエンド・UI検証","低","中","低","298","D","未着手",""
"34","configure-ecc","運用・外部連携","低","中","低","366","C","未着手",""
"35","connections-optimizer","ウェブ検索・外部調査","低","中","低","188","C","未着手",""
"36","content-engine","コンテンツ・発信","低","低","低","130","C","未着手",""
"37","content-hash-cache-pattern","データ・DB・AI基盤","中","高","中","160","C","未着手",""
"38","context-budget","コスト・コンテキスト管理","高","中","中","86","C","完了","loaded/discoverable/on-demandを分けてcontextを実測し、母集団を削除せずprofileで可逆最適化する手順へ変更。"
"39","continuous-agent-loop","エージェント運用・評価","低","高","低","44","C","未着手",""
"40","continuous-learning","エージェント運用・評価","低","高","低","122","C","未着手",""
"41","continuous-learning-v2","エージェント運用・評価","低","高","低","363","C","未着手",""
"42","cost-aware-llm-pipeline","API・バックエンド実装","高","高","中","182","B","未着手",""
"43","council","作業チャンク化・計画","低","中","低","202","C","未着手",""
"44","cpp-coding-standards","言語・フレームワーク別実装","低","高","低","722","D","未着手",""
"45","cpp-testing","テスト・検証","低","中","低","323","D","未着手",""
"46","crosspost","コンテンツ・発信","低","中","低","110","C","未着手",""
"47","csharp-testing","テスト・検証","低","中","低","320","D","未着手",""
"48","customer-billing-ops","業務ドメイン知識","低","中","低","139","C","未着手",""
"49","customs-trade-compliance","業務ドメイン知識","低","中","低","255","C","未着手",""
"50","dart-flutter-patterns","言語・フレームワーク別実装","低","高","低","562","D","未着手",""
"51","dashboard-builder","フロントエンド・UI検証","中","中","中","106","C","未着手",""
"52","database-migrations","データ・DB・AI基盤","高","高","中","71","B","完了","430行を70行へ分割し、PostgreSQL lock/rewrite、runner transaction mode、expand-backfill-validate-contract、recovery/production gateを明確化。"
"53","data-scraper-agent","ウェブ検索・外部調査","中","中","中","763","C","未着手",""
"54","deep-research","ウェブ検索・外部調査","高","中","中","154","C","未着手",""
"55","defi-amm-security","セキュリティ・安全性","低","高","低","158","C","未着手",""
"56","deployment-patterns","運用・外部連携","高","中","中","426","C","未着手",""
"57","design-system","フロントエンド・UI検証","中","中","中","81","C","未着手",""
"58","django-patterns","言語・フレームワーク別実装","低","高","低","733","D","未着手",""
"59","django-security","セキュリティ・安全性","低","高","低","592","D","未着手",""
"60","django-tdd","テスト・検証","低","中","低","728","D","未着手",""
"61","django-verification","テスト・検証","低","中","低","469","D","部分改善","検証中のnpm audit fix自動実行を除去し、read-only auditと承認付きdependency remediationへ分離。mutable GitHub Actions例はD優先度backlog。"
"62","dmux-workflows","エージェント運用・評価","低","高","低","190","C","未着手",""
"63","docker-patterns","運用・外部連携","高","中","中","363","C","未着手",""
"64","docs-state-sync","作業チャンク化・計画","高","高","高","29","A","完了","PJ正本とuser判断・user作業・実装task・完了・handoffの保存先と同期タイミングを分離。"
"65","documentation-lookup","リポジトリ調査・ファイル操作","高","低","高","52","B","完了","対象確定後の現行一次資料確認に限定し、利用可能toolを能力検出してversion付き根拠を返す手順へ変更。"
"66","dotnet-patterns","言語・フレームワーク別実装","低","高","低","320","D","未着手",""
"67","e2e-testing","テスト・検証","高","中","高","325","B","未着手",""
"68","ecc-tools-cost-audit","コスト・コンテキスト管理","低","中","低","159","C","未着手",""
"69","email-ops","運用・外部連携","低","中","低","120","C","未着手",""
"70","energy-procurement","業務ドメイン知識","低","中","低","220","C","未着手",""
"71","enterprise-agent-ops","エージェント運用・評価","低","高","低","49","C","未着手",""
"72","eval-harness","エージェント運用・評価","中","高","中","268","C","未着手",""
"73","evm-token-decimals","セキュリティ・安全性","低","高","低","128","C","未着手",""
"74","exa-search","ウェブ検索・外部調査","高","中","中","102","C","未着手",""
"75","expand-answer","プロンプト・LLM最適化","中","低","中","16","C","完了","旧custom promptをCodex skill化し、主張・根拠・不確実性・追加観点を段階的に展開する出力契約へ変更。"
"76","fal-ai-media","コンテンツ・発信","低","中","低","283","C","未着手",""
"77","finance-billing-ops","業務ドメイン知識","低","中","低","126","C","未着手",""
"78","flutter-dart-code-review","テスト・検証","低","中","低","434","D","未着手",""
"79","foundation-models-on-device","言語・フレームワーク別実装","低","高","低","243","C","未着手",""
"80","frontend-design","フロントエンド・UI検証","高","中","高","144","B","未着手",""
"81","frontend-patterns","フロントエンド・UI検証","高","中","高","76","D","完了","Next/Reactのserver-client境界、state ownership、UI状態、accessibility、performanceを中心にし、候補stackを条件付きreference化。"
"82","frontend-slides","フロントエンド・UI検証","低","中","低","183","C","未着手",""
"83","gan-style-harness","エージェント運用・評価","低","高","低","276","C","未着手",""
"84","github-ops","運用・外部連携","高","中","中","143","C","未着手",""
"85","git-workflow","運用・外部連携","高","中","中","82","C","完了","dirty worktreeとuser変更を保護し、明示path staging、history rewrite/remote write承認、raw remote URL非出力を追加。"
"86","golang-patterns","言語・フレームワーク別実装","低","高","低","673","D","未着手",""
"87","golang-testing","テスト・検証","低","中","低","719","D","未着手",""
"88","google-workspace-ops","運用・外部連携","高","中","中","94","C","未着手",""
"89","healthcare-cdss-patterns","業務ドメイン知識","低","中","低","243","C","未着手",""
"90","healthcare-emr-patterns","業務ドメイン知識","低","中","低","157","C","未着手",""
"91","healthcare-eval-harness","テスト・検証","低","中","低","205","C","未着手",""
"92","healthcare-phi-compliance","セキュリティ・安全性","低","高","低","143","C","未着手",""
"93","hexagonal-architecture","API・バックエンド実装","高","高","中","275","B","未着手",""
"94","hipaa-compliance","セキュリティ・安全性","低","高","低","76","C","未着手",""
"95","hookify-rules","運用・外部連携","低","中","低","128","C","未着手",""
"96","inventory-demand-planning","業務ドメイン知識","低","中","低","239","C","未着手",""
"97","investor-materials","コンテンツ・発信","低","中","低","95","C","未着手",""
"98","investor-outreach","コンテンツ・発信","低","中","低","90","C","未着手",""
"99","iterative-retrieval","ウェブ検索・外部調査","中","中","中","210","C","未着手",""
"100","java-coding-standards","言語・フレームワーク別実装","低","高","低","146","D","未着手",""
"101","jira-integration","運用・外部連携","低","中","低","292","C","未着手",""
"102","jpa-patterns","言語・フレームワーク別実装","低","高","低","150","D","未着手",""
"103","knowledge-ops","運用・外部連携","高","中","中","73","C","完了","PJ内正本、task/handoff、横断knowledge-vault、secret非保存を分離し、転記判断をpolicy準拠化。"
"104","kotlin-coroutines-flows","言語・フレームワーク別実装","低","高","低","283","D","未着手",""
"105","kotlin-exposed-patterns","言語・フレームワーク別実装","低","高","低","718","D","未着手",""
"106","kotlin-ktor-patterns","言語・フレームワーク別実装","低","高","低","688","D","未着手",""
"107","kotlin-patterns","言語・フレームワーク別実装","低","高","低","710","D","未着手",""
"108","kotlin-testing","テスト・検証","低","中","低","823","D","未着手",""
"109","laravel-patterns","言語・フレームワーク別実装","低","高","低","414","D","未着手",""
"110","laravel-plugin-discovery","言語・フレームワーク別実装","低","高","低","228","D","未着手",""
"111","laravel-security","セキュリティ・安全性","低","高","低","284","D","未着手",""
"112","laravel-tdd","テスト・検証","低","中","低","282","D","未着手",""
"113","laravel-verification","テスト・検証","低","中","低","178","D","未着手",""
"114","lead-intelligence","ウェブ検索・外部調査","中","中","中","320","C","未着手",""
"115","liquid-glass-design","フロントエンド・UI検証","低","中","低","279","C","未着手",""
"116","llm-trading-agent-security","セキュリティ・安全性","低","高","低","144","C","未着手",""
"117","logistics-exception-management","業務ドメイン知識","低","中","低","214","C","未着手",""
"118","manim-video","コンテンツ・発信","低","中","低","88","C","未着手",""
"119","market-research","ウェブ検索・外部調査","高","中","中","74","C","未着手",""
"120","mcp-server-patterns","API・バックエンド実装","高","高","中","68","B","未着手",""
"121","messages-ops","API・バックエンド実装","中","高","中","103","C","未着手",""
"122","monorepo-boundary-review","リポジトリ調査・ファイル操作","高","高","中","35","B","完了","package名ではなく責務・data ownership・runtime・依存方向・将来分割でmonorepo境界を評価する手順を追加。"
"123","nanoclaw-repl","言語・フレームワーク別実装","低","高","低","32","C","未着手",""
"124","nestjs-patterns","API・バックエンド実装","低","高","低","229","D","未着手",""
"125","nextjs-turbopack","フロントエンド・UI検証","高","中","高","43","D","未着手",""
"126","nodejs-keccak256","API・バックエンド実装","低","高","低","100","D","未着手",""
"127","nutrient-document-processing","業務ドメイン知識","低","中","低","166","C","未着手",""
"128","nuxt4-patterns","フロントエンド・UI検証","低","中","低","99","D","未着手",""
"129","openclaw-persona-forge","エージェント運用・評価","低","高","低","295","C","未着手",""
"130","opensource-pipeline","運用・外部連携","中","中","中","254","C","未着手",""
"131","oss-adoption-planning","ウェブ検索・外部調査","高","高","中","30","B","完了","reuse/adopt/wrap/build判断にdata authority・運用負担・version・exit/rollbackを含める採用計画へ変更。"
"132","perl-patterns","言語・フレームワーク別実装","低","高","低","503","D","未着手",""
"133","perl-security","セキュリティ・安全性","低","高","低","502","D","未着手",""
"134","perl-testing","テスト・検証","低","中","低","474","D","未着手",""
"135","permission-modeling","セキュリティ・安全性","高","高","中","31","B","完了","actor/resource/action/scope、tenant・organization・delegation、default deny、enforcement、auditを明示する権限モデルを追加。"
"136","plankton-code-quality","テスト・検証","低","中","低","235","C","未着手",""
"137","postgres-patterns","データ・DB・AI基盤","高","高","高","50","A","完了","一律の型/index/pagination/RLS推奨を廃止し、target version・query/workload・EXPLAIN実測・pool/RLS境界に基づくSQL/runtime設計へ再設計。"
"138","product-capability","作業チャンク化・計画","高","中","高","80","B","完了","PRDと実装planの間にcapability・invariant・interface・state・未決判断の契約とanalysis-only出力を追加。"
"139","production-scheduling","業務ドメイン知識","低","中","低","230","C","未着手",""
"140","product-lens","作業チャンク化・計画","高","低","高","91","B","未着手",""
"141","project-flow-ops","運用・外部連携","高","中","中","110","C","未着手",""
"142","prompt-optimizer","プロンプト・LLM最適化","高","中","中","393","C","未着手",""
"143","prp-create-plan","作業チャンク化・計画","高","高","高","31","A","完了","実在codebase・PJ正本・依存関係から実装slice、順序、停止条件、検証を作るCodex PRP planへ移行。"
"144","prp-create-prd","作業チャンク化・計画","高","高","中","32","B","完了","problem・actor・outcome・制約・未決判断を分離し、実装詳細を早期固定しないPRD skillへ移行。"
"145","prp-implement-plan","作業チャンク化・計画","高","高","高","52","A","完了","承認済みplanをslice単位で実装・検証し、task・decision・completion・handoffを同期するworkflowへ移行。"
"146","python-patterns","言語・フレームワーク別実装","低","高","低","749","D","未着手",""
"147","python-testing","テスト・検証","低","中","低","815","D","未着手",""
"148","pytorch-patterns","データ・DB・AI基盤","低","高","低","395","D","未着手",""
"149","quality-nonconformance","テスト・検証","低","中","低","252","C","未着手",""
"150","ralphinho-rfc-pipeline","エージェント運用・評価","中","高","中","66","C","未着手",""
"151","regex-vs-llm-structured-text","プロンプト・LLM最適化","中","中","中","219","C","未着手",""
"152","remotion-video-creation","フロントエンド・UI検証","低","中","低","41","C","未着手",""
"153","repo-scan","リポジトリ調査・ファイル操作","高","中","中","63","C","完了","source ownership、vendored/generated、workspace境界、構造riskをread-onlyで監査する汎用repo scanへ変更。"
"154","research-ops","ウェブ検索・外部調査","高","低","高","111","B","未着手",""
"155","returns-reverse-logistics","業務ドメイン知識","低","中","低","232","C","未着手",""
"156","rules-distill","リポジトリ調査・ファイル操作","高","中","中","263","C","未着手",""
"157","rust-patterns","言語・フレームワーク別実装","低","高","低","498","D","未着手",""
"158","rust-testing","テスト・検証","低","中","低","499","D","未着手",""
"159","safety-guard","セキュリティ・安全性","高","高","中","70","B","完了","実在sandbox・approval・権限を使うdestructive/external/privileged gateとProceed/Needs approval/Stop出力を追加。"
"160","santa-method","エージェント運用・評価","中","高","中","305","C","未着手",""
"161","search-first","ウェブ検索・外部調査","高","低","高","79","B","完了","repo内再利用を先に調べ、現行一次資料からreuse/adopt/wrap/compose/buildを比較するworkflowへ変更。"
"162","security-bounty-hunter","セキュリティ・安全性","低","高","低","97","C","未着手",""
"163","security-review","セキュリティ・安全性","高","高","高","114","A","完了","scoped change reviewへ限定し、tenant/org/delegation/session/abuse/auditとOWASP一次資料、qualified Codex Security routingを追加。旧危険資源は隔離。"
"164","security-scan","セキュリティ・安全性","低","高","低","164","C","未着手",""
"165","seo","フロントエンド・UI検証","中","中","中","153","C","未着手",""
"166","skill-comply","エージェント運用・評価","中","高","中","56","C","未着手",""
"167","skill-stocktake","エージェント運用・評価","中","高","中","66","C","完了","削除選別ではなく、構造validity・trigger・context cost・安全性・最新性をP0-P3で監査するskillへ再設計。"
"168","social-graph-ranker","ウェブ検索・外部調査","低","中","低","153","C","未着手",""
"169","springboot-patterns","言語・フレームワーク別実装","低","高","低","313","D","未着手",""
"170","springboot-security","セキュリティ・安全性","低","高","低","271","D","未着手",""
"171","springboot-tdd","テスト・検証","低","中","低","157","D","未着手",""
"172","springboot-verification","テスト・検証","低","中","低","230","D","未着手",""
"173","strategic-compact","作業チャンク化・計画","高","低","中","60","C","完了","安定境界、durable state、復帰時再読を定義し、旧Claude/Bash hookをactive path外へ隔離。"
"174","swift-actor-persistence","言語・フレームワーク別実装","低","高","低","142","D","未着手",""
"175","swift-concurrency-6-2","言語・フレームワーク別実装","低","高","低","216","D","未着手",""
"176","swift-protocol-di-testing","言語・フレームワーク別実装","低","高","低","189","D","未着手",""
"177","swiftui-patterns","フロントエンド・UI検証","低","中","低","259","D","未着手",""
"178","tdd-workflow","テスト・検証","高","中","高","106","B","完了","固定80%・TDD絶対化・自動commitを廃止し、test-first適用判断、risk-based test layer、RED/GREEN、flake/evidenceへ再設計。"
"179","team-builder","エージェント運用・評価","中","高","中","167","C","未着手",""
"180","terminal-ops","運用・外部連携","高","低","高","108","B","未着手",""
"181","token-budget-advisor","作業チャンク化・計画","中","低","中","132","C","未着手",""
"182","ui-demo","フロントエンド・UI検証","低","中","低","464","C","未着手",""
"183","unified-notifications-ops","運用・外部連携","中","中","中","186","C","未着手",""
"184","verification-loop","テスト・検証","高","中","高","84","B","完了","固定coverage率・単一package manager・Claude前提を廃止し、受入条件と直接証拠をrisk-basedに対応。"
"185","videodb","コンテンツ・発信","低","中","低","371","C","未着手",""
"186","video-editing","コンテンツ・発信","低","中","低","309","C","未着手",""
"187","visa-doc-translate","コンテンツ・発信","低","中","低","117","C","未着手",""
"188","workspace-surface-audit","リポジトリ調査・ファイル操作","高","中","中","63","C","完了","repo構造監査と分離し、Codex sessionのtools・plugins・connectors・authorization・設定だけを監査するtriggerへ限定。"
"189","x-api","API・バックエンド実装","低","高","低","229","C","未着手",""
